Unnamed: 0,segment_id,polygon_id,class_id,pixels_cluster,alphas
0,0,0,6,[1 1 1 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 1 1 0 0 0 1 1],"[0.34, 0.67]"
1,1,0,6,[0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1],"[0.26, 0.75]"
2,2,0,6,[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[0.64, 0.37]"
3,3,0,5,[1 1 0 0 1 1 0 1 1 0 1 1 0 1 1 0 0],"[0.46, 0.55]"
4,4,0,5,[1 1 1 1 0 0 1 1 0 0 1 1 1 1 0 1 1 0 0],"[0.65, 0.36]"
5,5,0,5,[0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],"[0.71, 0.3]"
6,6,0,6,[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[0.7, 0.31]"
7,7,0,6,[0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1],"[0.52, 0.49]"
8,8,0,5,[0 0 1 0 0 1 1 0 0 1 1 1 0 0 1 1 1 0 0 1],"[0.69, 0.32]"
9,9,0,6,[0 0 0 0 0 1 1 1 1 1 1 1 1 1 0],"[0.63, 0.38]"
10,10,0,5,[1 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0],"[0.24, 0.77]"
11,11,0,5,[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[0.33, 0.68]"
12,12,0,5,[0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1],"[0.8, 0.21]"
13,13,0,5,[0 0 0 0 1 1 0 0 1 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1],"[0.36, 0.65]"
14,14,0,5,[1 1 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0],"[0.5, 0.51]"
15,15,0,6,[1 1 1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 1],"[0.68, 0.33]"
16,16,0,6,[1 1 1 1 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],"[0.46, 0.55]"
17,17,0,4,[1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0],"[0.41, 0.6]"
18,18,0,4,[1 1 1 1 1 1 1 0 0 0 0],"[0.46, 0.55]"
19,19,0,4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1],"[0.41, 0.6]"
20,20,0,4,[1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],"[0.7, 0.31]"
21,21,0,5,[0 0 0 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 0 0],"[0.1, 0.91]"
22,22,0,5,[1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],"[0.32, 0.69]"
23,23,0,5,[1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1],"[0.62, 0.39]"
24,24,0,6,[0 1 1 0 0 1 1 0 0 1 1 0 0 1 1 1 1],"[0.17, 0.84]"
25,25,0,3,[0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0],"[0.42, 0.59]"
26,26,0,3,[1 1 1 1 1 0 0 0 1 1 0 0 1 0 0 0 0 0],"[0.49, 0.52]"
27,27,0,3,[0 0 1 1 0 0 1 1 0 0 0 1 1 0 1 1 1 1 1 1 1],"[0.49, 0.52]"
28,28,0,3,[0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1],"[0.55, 0.46]"
29,29,0,6,[0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 1 1],"[0.58, 0.43]"
30,30,0,6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 1 1 1],"[0.47, 0.54]"
31,31,0,6,[0 0 0 0 0 0 0 1 1 1 0 0 1 1 1 1 1 0 0 1 1 0 0 1 0 0],"[0.52, 0.49]"
32,32,0,6,[0 1 1 1 1 1 1 1 0 0 1 0 0 0 0 0],"[0.57, 0.44]"
33,33,0,6,[0 0 0 0 0 0 1 1 1 1 1 1 1],"[0.42, 0.59]"
34,34,0,6,[0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1],"[0.55, 0.46]"
35,35,0,6,[0 0 0 1 1 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0],"[0.39, 0.62]"
36,36,0,6,[0 0 0 0 1 1 0 0 1 1 0 0 1 1 1 1 1 1 1 1],"[0.55, 0.46]"
37,37,0,6,[1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0],"[0.57, 0.44]"
38,38,0,6,[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[0.67, 0.34]"
39,39,0,6,[1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 1],"[0.66, 0.35]"
40,40,0,5,[0 0 0 1 0 0 1 1 1 1 1 1 1 1 1 1],"[0.57, 0.44]"
41,41,0,6,[0 1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1],"[0.31, 0.7]"
